4/4/4 3/1/1 1/378/365
2/379/367 339/349/337 340/350/338
5/6/6 4/4/4 1/380/365
2/381/367 340/350/338 341/351/339
6/8/8 5/6/6 1/382/365
2/383/367 341/351/339 342/352/340
7/10/10 6/8/8 1/384/365
2/385/367 342/352/340 343/353/341
8/12/12 7/10/10 1/386/365
2/387/367 343/353/341 344/354/342
9/14/14 8/12/12 1/388/365
2/389/367 344/354/342 345/355/343
10/16/16 9/14/14 1/390/365
2/391/367 345/355/343 346/356/344
11/18/18 10/16/16 1/392/365
2/393/367 346/356/344 347/357/345
12/20/20 11/18/18 1/394/365
2/395/367 347/357/345 348/358/346
13/22/22 12/20/20 1/396/365
2/397/367 348/358/346 349/359/347
14/24/24 13/22/22 1/398/365
2/399/367 349/359/347 350/360/348
15/26/26 14/24/24 1/400/365
2/401/367 350/360/348 351/361/349
16/28/28 15/26/26 1/402/365
2/403/367 351/361/349 352/362/350
17/30/30 16/28/28 1/404/365
2/405/367 352/362/350 353/363/351
18/32/32 17/30/30 1/406/365
2/407/367 353/363/351 354/364/352
19/34/34 18/32/32 1/408/365
2/409/367 354/364/352 355/365/353
20/36/36 19/34/34 1/410/365
2/411/367 355/365/353 356/366/354
21/38/38 20/36/36 1/412/365
2/413/367 356/366/354 357/367/355
22/40/40 21/38/38 1/414/365
2/415/367 357/367/355 358/368/356
23/42/42 22/40/40 1/416/365
2/417/367 358/368/356 359/369/357
24/44/44 23/42/42 1/418/365
2/419/367 359/369/357 360/370/358
25/46/46 24/44/44 1/420/365
2/421/367 360/370/358 361/371/359
26/48/48 25/46/46 1/422/365
2/423/367 361/371/359 362/372/360
27/50/50 26/48/48 1/424/365
2/425/367 362/372/360 363/373/361
28/52/52 27/50/50 1/426/365
2/427/367 363/373/361 364/374/362
29/54/54 28/52/52 1/428/365
2/429/367 364/374/362 365/375/363
30/56/56 29/54/54 1/430/365
2/431/367 365/375/363 366/376/364
3/58/1 30/56/56 1/432/365
2/433/367 366/376/364 339/377/337
